CITY,STATE,Citystate,lat,lon,address,state_2,country
DUTCH HARBOR,AK,Alaska,53.8898,-166.5421999,dutch harbor,AK,usa
ANCHORAGE,AK,Alaska,61.2180556,-149.9002778,anchorage,AK,usa
FAIRBANKS,AK,Alaska,64.8377778,-147.7163888,fairbanks,AK,usa
JUNEAU,AK,Alaska,58.3019444,-134.4197221,juneau,AK,usa
NOME,AK,Alaska,64.5011111,-165.4063889,nome,AK,usa
PALMER,AK,Alaska,61.5997222,-149.1127777,palmer,AK,usa
BIRMINGHAM,AL,Alabama,33.5206608,-86.80249,birmingham,AL,usa
DECATUR,AL,Alabama,34.6059253,-86.9833417,decatur,AL,usa
DOTHAN,AL,Alabama,31.2232313,-85.3904888,dothan,AL,usa
MOBILE,AL,Alabama,30.6953657,-88.0398912,mobile,AL,usa
MONTGOMERY,AL,Alabama,32.3668052,-86.2999689,montgomery,AL,usa
MUSCLE SHOALS,AL,Alabama,34.7448112,-87.6675292,muscle shoals,AL,usa
SCOTTSBORO,AL,Alabama,34.6723069,-86.0341463,scottsboro,AL,usa
GORDON,AL,Alabama,31.1412918,-85.0965965,gordon,AL,usa
ASHFORD,AL,Alabama,31.1829562,-85.236321,ashford,AL,usa
CHATTAHOOCHEE,AL,Alabama,32.7935602,-84.4011956,chattahoochee river,AL,usa
FAYETTEVILLE,AR,Arkansas,36.082156,-94.1718542,fayetteville,AR,usa
FORT SMITH,AR,Arkansas,35.3859242,-94.3985475,fort smith,AR,usa
LITTLE ROCK,AR,Arkansas,34.7464809,-92.2895948,little rock,AR,usa
PHOENIX,AZ,Arizona,33.4483771,-112.0740373,phoenix,AZ,usa
TEMPE,AZ,Arizona,33.4255104,-111.9400054,tempe,AZ,usa
TUCSON,AZ,Arizona,32.2226066,-110.9747108,tucson,AZ,usa
YUMA,AZ,Arizona,32.6926512,-114.6276916,yuma,AZ,usa
CLAY STATION,CA,California,38.4158731,-121.1910819,clay station,CA,usa
ANAHEIM,CA,California,33.8365932,-117.9143012,anaheim,CA,usa
BAKERSFIELD,CA,California,35.3732921,-119.0187125,bakersfield,CA,usa
BERKELEY,CA,California,37.8715926,-122.272747,berkeley,CA,usa
EUREKA,CA,California,40.8020712,-124.1636729,eureka,CA,usa
FRESNO,CA,California,36.7377981,-119.7871247,fresno,CA,usa
LOS ANGELES,CA,California,34.0522342,-118.2436849,los angeles,CA,usa
OAKLAND,CA,California,37.8043637,-122.2711137,oakland,CA,usa
RICHMOND,CA,California,37.9357576,-122.3477486,richmond,CA,usa
RIVERSIDE,CA,California,33.9806005,-117.3754942,riverside,CA,usa
